No,R,PCC,XYZ,C Blue Red Yellow
75,....,[-0.1669859  -0.2038284  -0.33523572],[ 16.36125025   8.72529172   0.8693025 ],[ 0.   0.6  0.8]
76,....,[-0.16782828 -0.20409404 -0.3353728 ],[ 16.23842676   8.66323675   0.79467105],[ 0.   0.6  0.9]
77,....,[-0.13429909 -0.17345075 -0.29640484],[ 16.81529436   8.69292664   3.94280887],[ 0.   0.7  0. ]
78,....,[-0.14888581 -0.19016173 -0.31289345],[ 16.42669015   8.58120862   2.5650572 ],[ 0.   0.7  0.1]
79,....,[-0.1553505  -0.19670568 -0.31939039],[ 16.19473721   8.49512045   1.94563217],[ 0.   0.7  0.2]
80,....,[-0.15917227 -0.20013125 -0.32283273],[ 16.01591736   8.42005389   1.58062871],[ 0.   0.7  0.3]
81,....,[-0.16175093 -0.20216415 -0.32490237],[ 15.86320821   8.35149232   1.33660789],[ 0.   0.7  0.4]
82,....,[-0.16363327 -0.20345236 -0.32622667],[ 15.72597383   8.28739514   1.16071931],[ 0.   0.7  0.5]
83,....,[-0.16508216 -0.20429701 -0.32709682],[ 15.59906369   8.22664927   1.02736645],[ 0.   0.7  0.6]
84,....,[-0.1662412  -0.20485771 -0.32766789],[ 15.47963523   8.16857232   0.92250208],[ 0.   0.7  0.7]
85,....,[-0.16719594 -0.2052271  -0.32803074],[ 15.36596835   8.1127107    0.83772202],[ 0.   0.7  0.8]
86,....,[-0.13860216 -0.17881567 -0.29357064],[ 15.79228415   8.10430002   3.49765989],[ 0.   0.8  0. ]
87,....,[-0.15079929 -0.19277247 -0.30747939],[ 15.46468449   8.01046289   2.36009119],[ 0.   0.8  0.1]
88,....,[-0.1564981  -0.19854391 -0.31331795],[ 15.26085117   7.93640259   1.81988072],[ 0.   0.8  0.2]
89,....,[-0.1599525  -0.20163566 -0.31651846],[ 15.10174465   7.87123034   1.49335503],[ 0.   0.8  0.3]
90,....,[-0.1623213  -0.20349379 -0.31849641],[ 14.96522322   7.81139651   1.27158196],[ 0.   0.8  0.4]
91,....,[-0.16407087 -0.20467965 -0.31979798],[ 14.84227671   7.7552611    1.10994531],[ 0.   0.8  0.5]
92,....,[-0.1654298  -0.20545958 -0.32068193],[ 14.72845219   7.70191811   0.98636924],[ 0.   0.8  0.6]
93,....,[-0.16652474 -0.20597692 -0.32128796],[ 14.62125859   7.65080767   0.88855106],[ 0.   0.8  0.7]
94,....,[-0.14209756 -0.18304915 -0.29075526],[ 14.91810757   7.60815495   3.14343301],[ 0.   0.9  0. ]
95,....,[-0.15247417 -0.19489878 -0.30267902],[ 14.63716257   7.52779254   2.18673655],[ 0.   0.9  0.1]
96,....,[-0.15754665 -0.2000338  -0.30796457],[ 14.45605192   7.46308099   1.71064222],[ 0.   0.9  0.2]
97,....,[-0.16068975 -0.20284272 -0.31095062],[ 14.31306355   7.40568302   1.41629346],[ 0.   0.9  0.3]
98,....,[-0.16287609 -0.20455106 -0.31284089],[ 14.18980892   7.3527492    1.21350944],[ 0.   0.9  0.4]
99,....,[-0.16450777 -0.20564912 -0.31411442],[ 14.07857516   7.30293531   1.0642157 ],[ 0.   0.9  0.5]
100,....,[-0.16578536 -0.20637404 -0.3150025 ],[ 13.97547802   7.25548984   0.94920138],[ 0.   0.9  0.6]
101,....,[-0.1450042  -0.18645569 -0.28802551],[ 14.15889154   7.18223555   2.85473243],[ 0.  1.  0.]
