No,R,PCC,XYZ,C Blue Red Yellow
442,....,[-0.17394466 -0.18308035 -0.17622529],[ 1.52388463  1.2266246   1.36888296],[ 0.4  0.6  0.4]
443,....,[-0.17565724 -0.18494582 -0.17806405],[ 1.48862864  1.20888241  1.18643833],[ 0.4  0.6  0.5]
444,....,[-0.15206471 -0.15765312 -0.15265403],[ 1.93281953  1.28054281  3.59256673],[ 0.4  0.7  0. ]
445,....,[-0.16342981 -0.17118001 -0.16563625],[ 1.70056866  1.22849548  2.42732678],[ 0.4  0.7  0.1]
446,....,[-0.16889811 -0.17741761 -0.1716    ],[ 1.59073493  1.19654489  1.86767292],[ 0.4  0.7  0.2]
447,....,[-0.17218153 -0.18106865 -0.17511101],[ 1.52482979  1.17333818  1.52917687],[ 0.4  0.7  0.3]
448,....,[-0.17438709 -0.18348501 -0.17746771],[ 1.48028465  1.15507745  1.29957708],[ 0.4  0.7  0.4]
449,....,[-0.1553579  -0.16122919 -0.15665744],[ 1.83407583  1.20110794  3.21683601],[ 0.4  0.8  0. ]
450,....,[-0.16497379 -0.17274094 -0.1677642 ],[ 1.63923013  1.15853204  2.24183832],[ 0.4  0.8  0.1]
451,....,[-0.16980796 -0.17829612 -0.17311615],[ 1.54256058  1.13163857  1.75109475],[ 0.4  0.8  0.2]
452,....,[-0.15804658 -0.16414078 -0.15996576],[ 1.75232494  1.1359252   2.91303987],[ 0.4  0.9  0. ]
453,....,[-0.16630947 -0.17407995 -0.16960194],[ 1.58625088  1.1003842   2.08390226],[ 0.4  0.9  0.1]
454,....,[-0.17062278 -0.1790681  -0.17444129],[ 1.50037106  1.07736772  1.64935218],[ 0.4  0.9  0.2]
455,....,[-0.1602865  -0.16656011 -0.16275654],[ 1.68326098  1.08126505  2.6621795 ],[ 0.4  1.   0. ]
456,....,[-0.16747734 -0.17524382 -0.17121393],[ 1.53984833  1.05110517  1.94761175],[ 0.4  1.   0.1]
457,....,[-0.00163918  0.02097939  0.00442951],[  5.76665951   5.40448456  23.15611007],[ 0.5  0.   0. ]
458,....,[-0.14562058 -0.12348012 -0.11829315],[ 2.73350947  3.62551223  6.51897379],[ 0.5  0.   0.1]
459,....,[-0.16590375 -0.14909036 -0.14069553],[ 2.24845604  3.10905532  3.86200544],[ 0.5  0.   0.2]
460,....,[-0.17343668 -0.16108642 -0.15133135],[ 2.03946493  2.82306105  2.75454769],[ 0.5  0.   0.3]
461,....,[-0.17711291 -0.16838515 -0.15785596],[ 1.91939028  2.63123184  2.14456166],[ 0.5  0.   0.4]
462,....,[-0.17916955 -0.17341668 -0.16238528],[ 1.83962443  2.48948424  1.75758462],[ 0.5  0.   0.5]
463,....,[-0.18041856 -0.17714752 -0.16576866],[ 1.7817624   2.37839057  1.48992287],[ 0.5  0.   0.6]
464,....,[-0.18121915 -0.18004881 -0.16842244],[ 1.73724201  2.28779661  1.29362219],[ 0.5  0.   0.7]
465,....,[-0.18175173 -0.18238177 -0.17057817],[ 1.70151538  2.21177721  1.14342376],[ 0.5  0.   0.8]
466,....,[-0.18211531 -0.18430476 -0.17237632],[ 1.6719307   2.14659624  1.02474773],[ 0.5  0.   0.9]
467,....,[-0.18236793 -0.18592029 -0.17390774],[ 1.64683046  2.08975776  0.92858445],[ 0.5  0.   1. ]
468,....,[-0.08371729 -0.07693927 -0.08103378],[  3.62830756   2.87879058  12.1358592 ],[ 0.5  0.1  0. ]
469,....,[-0.1472517  -0.14473216 -0.14150516],[ 2.27874512  2.37943658  5.04485582],[ 0.5  0.1  0.1]
470,....,[-0.16293126 -0.16188955 -0.15666169],[ 1.94438455  2.17252084  3.25137953],[ 0.5  0.1  0.2]
471,....,[-0.16993309 -0.17015198 -0.16404018],[ 1.78738847  2.04420051  2.41174401],[ 0.5  0.1  0.3]
472,....,[-0.17382016 -0.17515752 -0.16857281],[ 1.69451593  1.95232987  1.92150239],[ 0.5  0.1  0.4]
473,....,[-0.1762471  -0.17858174 -0.17172103],[ 1.63226254  1.88132858  1.59912815],[ 0.5  0.1  0.5]
474,....,[-0.17787907 -0.18110608 -0.17407977],[ 1.58709568  1.82376691  1.37060587],[ 0.5  0.1  0.6]
475,....,[-0.17903432 -0.18306286 -0.17593973],[ 1.55247969  1.77554304  1.19997014],[ 0.5  0.1  0.7]
476,....,[-0.1798836  -0.1846349  -0.17746117],[ 1.52486205  1.73416254  1.06759799],[ 0.5  0.1  0.8]
477,....,[-0.18052635 -0.18593186 -0.17874043],[ 1.50214115  1.69799998  0.96185793],[ 0.5  0.1  0.9]
478,....,[-0.11251693 -0.11037607 -0.11270147],[ 2.85680661  2.13253423  8.48287027],[ 0.5  0.2  0. ]
479,....,[-0.15144142 -0.15345723 -0.15205048],[ 2.02776384  1.8784208   4.19797399],[ 0.5  0.2  0.1]
480,....,[-0.16371058 -0.16674765 -0.16398835],[ 1.77282664  1.75759678  2.85112064],[ 0.5  0.2  0.2]
481,....,[-0.16973554 -0.17344446 -0.17003517],[ 1.64498513  1.67879485  2.17246563],[ 0.5  0.2  0.3]
482,....,[-0.17328609 -0.17755482 -0.17379313],[ 1.56701326  1.62068706  1.75995957],[ 0.5  0.2  0.4]
483,....,[-0.17560602 -0.18037148 -0.17641015],[ 1.51392975  1.57485385  1.48156888],[ 0.5  0.2  0.5]
484,....,[-0.17722689 -0.18244258 -0.17837035],[ 1.47511879  1.53711897  1.28057203],[ 0.5  0.2  0.6]
485,....,[-0.17841404 -0.18404162 -0.17991463],[ 1.44528009  1.50511308  1.12841392],[ 0.5  0.2  0.7]
486,....,[-0.17931458 -0.18532091 -0.18117704],[ 1.42146459  1.47736566  1.00910504],[ 0.5  0.2  0.8]
487,....,[-0.12795006 -0.12794098 -0.13013105],[ 2.43552853  1.75467654  6.57540716],[ 0.5  0.3  0. ]
488,....,[-0.15510398 -0.15871432 -0.1586494 ],[ 1.85886482  1.5962113   3.62351719],[ 0.5  0.3  0.1]
489,....,[-0.16503352 -0.16956405 -0.16854096],[ 1.65464055  1.51422395  2.55603807],[ 0.5  0.3  0.2]
490,....,[-0.17023503 -0.17526305 -0.17374712],[ 1.54682054  1.45896322  1.98820054],[ 0.5  0.3  0.3]
491,....,[-0.17342743 -0.17882391 -0.17703482],[ 1.47926226  1.41741984  1.63214959],[ 0.5  0.3  0.4]
492,....,[-0.17557644 -0.18128279 -0.17934079],[ 1.43253648  1.38421523  1.38683661],[ 0.5  0.3  0.5]
493,....,[-0.17711434 -0.18309556 -0.18107331],[ 1.39804506  1.35660553  1.20705787],[ 0.5  0.3  0.6]
494,....,[-0.17826403 -0.18449514 -0.1824398 ],[ 1.37137429  1.33300328  1.06940783],[ 0.5  0.3  0.7]
495,....,[-0.13774453 -0.13893724 -0.14137915],[ 2.16420828  1.52127754  5.38726585],[ 0.5  0.4  0. ]
496,....,[-0.15810907 -0.16240275 -0.16334904],[ 1.7342434   1.4114381   3.20075201],[ 0.5  0.4  0.1]
497,....,[-0.16636719 -0.17153314 -0.17177763],[ 1.5654082   1.35105291  2.32526232],[ 0.5  0.4  0.2]
498,....,[-0.17090729 -0.17650433 -0.17636965],[ 1.47246201  1.30933057  1.83914784],[ 0.5  0.4  0.3]
499,....,[-0.1737815  -0.17966631 -0.17931804],[ 1.41284418  1.27750168  1.52648979],[ 0.5  0.4  0.4]
500,....,[-0.17576063 -0.18187065 -0.1814045 ],[ 1.3710014   1.25180512  1.30732119],[ 0.5  0.4  0.5]
501,....,[-0.17720254 -0.18350392 -0.18297991],[ 1.33981478  1.2302784   1.14465681],[ 0.5  0.4  0.6]
502,....,[-0.14457688 -0.14653588 -0.14932654],[ 1.97250296  1.36072264  4.57099297],[ 0.5  0.5  0. ]
503,....,[-0.16058019 -0.16520469 -0.1669441 ],[ 1.637067    1.27943481  2.87350667],[ 0.5  0.5  0.1]
504,....,[-0.16759487 -0.17304916 -0.17426207],[ 1.49432442  1.23258751  2.13793596],[ 0.5  0.5  0.2]
505,....,[-0.17160149 -0.17745484 -0.17837367],[ 1.41293716  1.19956236  1.71479316],[ 0.5  0.5  0.3]
506,....,[-0.17420216 -0.18030413 -0.18105618],[ 1.35965437  1.17406453  1.43671834],[ 0.5  0.5  0.4]
507,....,[-0.17602611 -0.18231003 -0.18297236],[ 1.32175552  1.15330931  1.2388767 ],[ 0.5  0.5  0.5]
508,....,[-0.14964313 -0.15213259 -0.15528559],[ 1.82865636  1.24247789  3.97361272],[ 0.5  0.6  0. ]
509,....,[-0.16263932 -0.16743824 -0.16982322],[ 1.55839814  1.17956253  2.6111898 ],[ 0.5  0.6  0.1]
510,....,[-0.16869758 -0.17428241 -0.17626572],[ 1.43564723  1.1418833   1.98184918],[ 0.5  0.6  0.2]
511,....,[-0.1722682  -0.17823196 -0.17998641],[ 1.3635215   1.11486664  1.60876314],[ 0.5  0.6  0.3]
512,....,[-0.17463465 -0.18082552 -0.1824508 ],[ 1.31544032  1.09379336  1.35897104],[ 0.5  0.6  0.4]
513,....,[-0.15356458 -0.15644303 -0.15994659],[ 1.71604145  1.15117331  3.51656437],[ 0.5  0.7  0. ]
514,....,[-0.16438003 -0.16927696 -0.17220435],[ 1.49294781  1.10085786  2.3954095 ],[ 0.5  0.7  0.1]
515,....,[-0.16968257 -0.17532064 -0.17793823],[ 1.38596016  1.06973603  1.84921556],[ 0.5  0.7  0.2]
516,....,[-0.15669829 -0.15987415 -0.1637097 ],[ 1.62504114  1.07817272  3.15512859],[ 0.5  0.8  0. ]
517,....,[-0.16587127 -0.17082596 -0.17422136],[ 1.43734352  1.03691433  2.21431838],[ 0.5  0.8  0.1]
518,....,[-0.17056341 -0.17621501 -0.17937008],[ 1.34306707  1.01067726  1.73476476],[ 0.5  0.8  0.2]
519,....,[-0.15926504 -0.16267539 -0.1668239 ],[ 1.54967721  1.01822576  2.86188683],[ 0.5  0.9  0. ]
520,....,[-0.1671639  -0.1721538  -0.17596204],[ 1.38931337  0.98371785  2.05988285],[ 0.5  0.9  0.1]
521,....,[-0.1614092  -0.16500871 -0.16945274],[ 1.48602398  0.96794493  2.61905325],[ 0.5  1.   0. ]
522,....,[-0.02185671 -0.00112766 -0.02384657],[  5.05245525   4.64993558  20.56649719],[ 0.6  0.   0. ]
523,....,[-0.14614205 -0.12513839 -0.12924718],[ 2.44394472  3.1870835   6.28430393],[ 0.6  0.   0.1]
524,....,[-0.16581678 -0.14877269 -0.14985834],[ 1.98757092  2.73780801  3.77220898],[ 0.6  0.   0.2]
525,....,[-0.17340903 -0.15987416 -0.15967371],[ 1.78913576  2.4867125   2.70555985],[ 0.6  0.   0.3]
526,....,[-0.17722432 -0.16662581 -0.16569354],[ 1.67521965  2.31771936  2.11300056],[ 0.6  0.   0.4]
527,....,[-0.17941607 -0.17128069 -0.16987091],[ 1.59984224  2.19265759  1.73518876],[ 0.6  0.   0.5]
528,....,[-0.18078194 -0.17473548 -0.17299049],[ 1.54544032  2.09457263  1.47299807],[ 0.6  0.   0.6]
529,....,[-0.18168076 -0.17742647 -0.17543661],[ 1.503809    2.01456276  1.28025466],[ 0.6  0.   0.7]
530,....,[-0.18229542 -0.17959501 -0.17742278],[ 1.47058206  1.94741883  1.13251619],[ 0.6  0.   0.8]
531,....,[-0.18272772 -0.1813871  -0.17907849],[ 1.44321225  1.88984988  1.01562237],[ 0.6  0.   0.9]
532,....,[-0.0906526  -0.08220701 -0.09406271],[  3.29049511   2.61161475  11.39912597],[ 0.6  0.1  0. ]
533,....,[-0.14869003 -0.14385695 -0.14893572],[ 2.05756968  2.15664767  4.91320945],[ 0.6  0.1  0.1]
534,....,[-0.16374945 -0.16019441 -0.1633263 ],[ 1.73755862  1.9640607   3.19389676],[ 0.6  0.1  0.2]
535,....,[-0.170591   -0.16814307 -0.17039005],[ 1.58576316  1.84427987  2.37863455],[ 0.6  0.1  0.3]
536,....,[-0.17442979 -0.1729764  -0.17473503],[ 1.49569588  1.75851802  1.89957705],[ 0.6  0.1  0.4]
537,....,[-0.17684603 -0.17628827 -0.1777496 ],[ 1.43531692  1.69229071  1.58332905],[ 0.6  0.1  0.5]
538,....,[-0.17848183 -0.17873221 -0.18000351],[ 1.39157144  1.63865847  1.35855718],[ 0.6  0.1  0.6]
539,....,[-0.17964666 -0.1806283  -0.18177634],[ 1.35812058  1.59378055  1.19040043],[ 0.6  0.1  0.7]
540,....,[-0.18050755 -0.18215302 -0.1832226 ],[ 1.33150657  1.55531806  1.05976165],[ 0.6  0.1  0.8]
541,....,[-0.1165543  -0.11234687 -0.12215764],[ 2.60714281  1.95408384  8.10753138],[ 0.6  0.2  0. ]
542,....,[-0.15275821 -0.15224635 -0.15850265],[ 1.83432187  1.71616373  4.10746189],[ 0.6  0.2  0.1]
543,....,[-0.16456906 -0.16499424 -0.16991436],[ 1.58871996  1.601272    2.80824909],[ 0.6  0.2  0.2]
544,....,[-0.1704429  -0.17148921 -0.17574667],[ 1.46443091  1.52614831  2.14681075],[ 0.6  0.2  0.3]
545,....,[-0.17392993 -0.1754971  -0.17938049],[ 1.3883521   1.47074551  1.74260787],[ 0.6  0.2  0.4]
546,....,[-0.17622002 -0.17825214 -0.18191055],[ 1.33649458  1.42707529  1.46890693],[ 0.6  0.2  0.5]
547,....,[-0.17782635 -0.18028224 -0.1838026 ],[ 1.29858384  1.39115698  1.27084039],[ 0.6  0.2  0.6]
548,....,[-0.17900661 -0.18185222 -0.18528968],[ 1.26946399  1.36072622  1.12064703],[ 0.6  0.2  0.7]
549,....,[-0.13076771 -0.12863967 -0.13804541],[ 2.22497699  1.61247346  6.34228541],[ 0.6  0.3  0. ]
550,....,[-0.15626209 -0.15741672 -0.16463566],[ 1.68139008  1.46214134  3.55565773],[ 0.6  0.3  0.1]
551,....,[-0.1658436  -0.16786133 -0.17412101],[ 1.48386726  1.3833651   2.52191881],[ 0.6  0.3  0.2]
552,....,[-0.17091645 -0.17340674 -0.17915626],[ 1.37873798  1.33013468  1.96715385],[ 0.6  0.3  0.3]
553,....,[-0.17404877 -0.17689165 -0.18234488],[ 1.31263149  1.29010372  1.61765596],[ 0.6  0.3  0.4]
554,....,[-0.17616588 -0.179307   -0.18458163],[ 1.26684028  1.2581219   1.37613792],[ 0.6  0.3  0.5]
555,....,[-0.13990533 -0.13898754 -0.14844885],[ 1.97580986  1.39877153  5.22660846],[ 0.6  0.4  0. ]
556,....,[-0.15913959 -0.16106782 -0.16905719],[ 1.56750273  1.29373967  3.14725097],[ 0.6  0.4  0.1]
557,....,[-0.16712372 -0.16987841 -0.17715546],[ 1.40375398  1.23536381  2.29706387],[ 0.6  0.4  0.2]
558,....,[-0.17155482 -0.1747248  -0.18160272],[ 1.31295348  1.19492963  1.8213095 ],[ 0.6  0.4  0.3]
559,....,[-0.17437504 -0.17782532 -0.18446585],[ 1.25451655  1.16406826  1.51401203],[ 0.6  0.4  0.4]
560,....,[-0.17632381 -0.17999528 -0.18649232],[ 1.213438    1.13915936  1.29801387],[ 0.6  0.4  0.5]
561,....,[-0.14633317 -0.14619948 -0.15586582],[ 1.79847402  1.25067693  4.45283953],[ 0.6  0.5  0. ]
562,....,[-0.16151259 -0.16384553 -0.17246284],[ 1.47821808  1.17252747  2.82988584],[ 0.6  0.5  0.1]
563,....,[-0.16830515 -0.17142903 -0.17950386],[ 1.33948214  1.12705672  2.11403332],[ 0.6  0.5  0.2]
564,....,[-0.17221853 -0.17572983 -0.18348892],[ 1.25986165  1.09492488  1.69934344],[ 0.6  0.5  0.3]
565,....,[-0.1747711  -0.17852726 -0.18609536],[ 1.20757247  1.07010257  1.4257617 ],[ 0.6  0.5  0.4]
566,....,[-0.15112821 -0.15154149 -0.16146031],[ 1.66479988  1.14110168  3.88273486],[ 0.6  0.6  0. ]
567,....,[-0.16349565 -0.16605958 -0.17520111],[ 1.40570112  1.08037723  2.57475029],[ 0.6  0.6  0.1]
568,....,[-0.16936963 -0.17268591 -0.18140648],[ 1.28619264  1.04370125  1.96121113],[ 0.6  0.6  0.2]
569,....,[-0.15485675 -0.15567256 -0.16585394],[ 1.55984131  1.05623555  3.44432496],[ 0.6  0.7  0. ]
570,....,[-0.16517626 -0.16788135 -0.17747073],[ 1.34524833  1.00752577  2.36439973],[ 0.6  0.7  0.1]
571,....,[-0.15784718 -0.15897128 -0.1694111 ],[ 1.47487024  0.98824825  3.09623319],[ 0.6  0.8  0. ]
572,....,[-0.16030391 -0.16167141 -0.17236045],[ 1.40442152  0.93234702  2.81289564],[ 0.6  0.9  0. ]
573,....,[-0.03800493 -0.01862454 -0.04608936],[  4.50326227   4.08377717  18.51810143],[ 0.7  0.   0. ]
574,....,[-0.14679603 -0.12677595 -0.13805791],[ 2.22573794  2.85307121  6.06885555],[ 0.7  0.   0.1]
575,....,[-0.16579197 -0.14878933 -0.15720521],[ 1.79436536  2.45574477  3.68826474],[ 0.7  0.   0.2]
576,....,[-0.17335856 -0.15917452 -0.16636332],[ 1.60475504  2.23160347  2.6595539 ],[ 0.7  0.   0.3]
577,....,[-0.17725034 -0.16549006 -0.17198081],[ 1.49575839  2.08019323  2.08334267],[ 0.7  0.   0.4]
578,....,[-0.179532   -0.1698433  -0.17587773],[ 1.42376985  1.96794275  1.71416274],[ 0.7  0.   0.5]
579,....,[-0.18098154 -0.17307508 -0.17878703],[ 1.37197878  1.87982234  1.45713298],[ 0.7  0.   0.6]
580,....,[-0.18195373 -0.17559432 -0.18106769],[ 1.33249355  1.80790403  1.26774638],[ 0.7  0.   0.7]
581,....,[-0.18263159 -0.17762691 -0.18291901],[ 1.30110356  1.74753439  1.12232844],[ 0.7  0.   0.8]
582,....,[-0.09665353 -0.0870566  -0.10500974],[  3.02080996   2.39716062  10.74979236],[ 0.7  0.1  0. ]
583,....,[-0.14994625 -0.14344743 -0.15511188],[ 1.88873015  1.98048469  4.78860109],[ 0.7  0.1  0.1]
584,....,[-0.16441999 -0.15903294 -0.16880956],[ 1.58197896  1.80042248  3.13872391],[ 0.7  0.1  0.2]
585,....,[-0.17110216 -0.16669195 -0.17559137],[ 1.43495404  1.68803112  2.34669502],[ 0.7  0.1  0.3]
586,....,[-0.17488893 -0.17136642 -0.17977154],[ 1.34739753  1.60750497  1.87838608],[ 0.7  0.1  0.4]
587,....,[-0.17729035 -0.17457451 -0.18267093],[ 1.2886488   1.54533643  1.56805197],[ 0.7  0.1  0.5]
588,....,[-0.17892629 -0.1769438  -0.18483596],[ 1.24610685  1.49502233  1.34690981],[ 0.7  0.1  0.6]
589,....,[-0.18009763 -0.17878305 -0.18653596],[ 1.21362038  1.45295356  1.18115586],[ 0.7  0.1  0.7]
590,....,[-0.12010897 -0.11435477 -0.13014253],[ 2.40955258  1.81129059  7.76610194],[ 0.7  0.2  0. ]
591,....,[-0.15390888 -0.15146152 -0.16386651],[ 1.68687721  1.58792017  4.02089461],[ 0.7  0.2  0.1]
592,....,[-0.16528934 -0.16370283 -0.17479589],[ 1.45002589  1.47842343  2.76675004],[ 0.7  0.2  0.2]
593,....,[-0.17101783 -0.17000534 -0.18043233],[ 1.32906688  1.40661554  2.12185162],[ 0.7  0.2  0.3]
594,....,[-0.17444273 -0.17391421 -0.18395499],[ 1.25473633  1.35362816  1.72568559],[ 0.7  0.2  0.4]
595,....,[-0.17670319 -0.17660892 -0.18640902],[ 1.20398667  1.31187303  1.4565439 ],[ 0.7  0.2  0.5]
596,....,[-0.13326313 -0.12950339 -0.14470586],[ 2.06009361  1.49963118  6.1266518 ],[ 0.7  0.3  0. ]
597,....,[-0.15727581 -0.1565081  -0.16959651],[ 1.54650073  1.35674243  3.49038511],[ 0.7  0.3  0.1]
598,....,[-0.16653031 -0.16657217 -0.17870862],[ 1.35529946  1.28093894  2.48874767],[ 0.7  0.3  0.2]
599,....,[-0.17148004 -0.17196959 -0.18358752],[ 1.25271179  1.22957368  1.946593  ],[ 0.7  0.3  0.3]
600,....,[-0.17455435 -0.1753798  -0.18668736],[ 1.18796075  1.19091942  1.6034605 ],[ 0.7  0.3  0.4]
601,....,[-0.17664054 -0.17775137 -0.18886374],[ 1.14302599  1.16004109  1.36564419],[ 0.7  0.3  0.5]
602,....,[-0.14182185 -0.13925848 -0.15437164],[ 1.82955483  1.30230297  5.07638737],[ 0.7  0.4  0. ]
603,....,[-0.16004073 -0.16010019 -0.17377277],[ 1.44109835  1.20171629  3.09559411],[ 0.7  0.4  0.1]
604,....,[-0.16776718 -0.16860934 -0.18156765],[ 1.28216439  1.1452172   2.26957325],[ 0.7  0.4  0.2]
605,....,[-0.1720941  -0.17333485 -0.18588278],[ 1.19339694  1.10597734  1.80383926],[ 0.7  0.4  0.3]
606,....,[-0.17486237 -0.17637438 -0.18866985],[ 1.13606695  1.07600472  1.50176043],[ 0.7  0.4  0.4]
607,....,[-0.14788974 -0.14611481 -0.16132184],[ 1.66428476  1.16456234  4.34150081],[ 0.7  0.5  0. ]
608,....,[-0.1623257  -0.1628414  -0.17701036],[ 1.35804894  1.08933291  2.78765071],[ 0.7  0.5  0.1]
609,....,[-0.16890915 -0.17017823 -0.18379731],[ 1.22311353  1.04515345  2.0906849 ],[ 0.7  0.5  0.2]
610,....,[-0.15244169 -0.15122214 -0.1665947 ],[ 1.53910971  1.06216665  3.79658969],[ 0.7  0.6  0. ]
611,....,[-0.16423963 -0.16502888 -0.17962396],[ 1.29037722  1.00348875  2.53939066],[ 0.7  0.6  0.1]
612,....,[-0.15599635 -0.15518781 -0.17075268],[ 1.4405041   0.98260643  3.37552386],[ 0.7  0.7  0. ]
613,....,[-0.15885702 -0.15836432 -0.17412895],[ 1.36049676  0.91872748  3.03992357],[ 0.7  0.8  0. ]
614,....,[-0.05123175 -0.03285718 -0.06409363],[  4.06617131   3.64251145  16.85289458],[ 0.8  0.   0. ]
615,....,[-0.14752908 -0.12834651 -0.14533778],[ 2.05382152  2.58874179  5.86980458],[ 0.8  0.   0.1]
616,....,[-0.1658252  -0.14898635 -0.16324998],[ 1.64471909  2.23296509  3.60928413],[ 0.8  0.   0.2]
617,....,[-0.17331436 -0.15877813 -0.17186387],[ 1.4627776   2.03039688  2.61603009],[ 0.8  0.   0.3]
618,....,[-0.17724124 -0.16473525 -0.17715056],[ 1.35790599  1.89303112  2.05524211],[ 0.8  0.   0.4]
619,....,[-0.17958161 -0.16884044 -0.18081724],[ 1.28867485  1.79099208  1.69424266],[ 0.8  0.   0.5]
620,....,[-0.18109118 -0.17188795 -0.1835539 ],[ 1.23896131  1.71079924  1.44211481],[ 0.8  0.   0.6]
621,....,[-0.18211861 -0.1742643  -0.1856987 ],[ 1.20115679  1.64530812  1.25591966],[ 0.8  0.   0.7]
622,....,[-0.10191442 -0.09150112 -0.11435991],[  2.79841781   2.219781    10.17263194],[ 0.8  0.1  0. ]
623,....,[-0.15107084 -0.14333981 -0.16034777],[ 1.75434312  1.83645051  4.67043481],[ 0.8  0.1  0.1]
624,....,[-0.16499145 -0.15823294 -0.17341352],[ 1.45991776  1.667467    3.0856819 ],[ 0.8  0.1  0.2]
625,....,[-0.17151625 -0.1656236  -0.17993928],[ 1.31732423  1.56156649  2.31582694],[ 0.8  0.1  0.3]
626,....,[-0.17524835 -0.17015117 -0.18397196],[ 1.23206169  1.48560551  1.85786017],[ 0.8  0.1  0.4]
627,....,[-0.17763165 -0.17326342 -0.18676981],[ 1.17477022  1.42695327  1.55324218],[ 0.8  0.1  0.5]
628,....,[-0.17926465 -0.17556369 -0.18885751],[ 1.13328086  1.37949812  1.33561794],[ 0.8  0.1  0.6]
629,....,[-0.12327731 -0.11633832 -0.13700096],[ 2.24734095  1.69313397  7.45388204],[ 0.8  0.2  0. ]
630,....,[-0.15493507 -0.15097177 -0.16841485],[ 1.56966842  1.48291268  3.93800652],[ 0.8  0.2  0.1]
631,....,[-0.16591045 -0.16273949 -0.17889902],[ 1.34105241  1.37835896  2.72654747],[ 0.8  0.2  0.2]
632,....,[-0.171499   -0.16885883 -0.18435436],[ 1.22324077  1.30957075  2.09754965],[ 0.8  0.2  0.3]
633,....,[-0.17486305 -0.17267255 -0.18777556],[ 1.15054821  1.25876712  1.70916691],[ 0.8  0.2  0.4]
634,....,[-0.17709399 -0.17530886 -0.19016137],[ 1.10082094  1.21873175  1.44445993],[ 0.8  0.2  0.5]
635,....,[-0.13550113 -0.1304561  -0.15041378],[ 1.92581495  1.4068036   5.92642304],[ 0.8  0.3  0. ]
636,....,[-0.15818038 -0.15587437 -0.17379166],[ 1.43955393  1.27075998  3.42754615],[ 0.8  0.3  0.1]
637,....,[-0.16712684 -0.16558072 -0.18255827],[ 1.25433791  1.19772619  2.45648127],[ 0.8  0.3  0.2]
638,....,[-0.17195852 -0.17083603 -0.18729216],[ 1.15416886  1.1480901   1.92649723],[ 0.8  0.3  0.3]
639,....,[-0.17497664 -0.17417343 -0.19031072],[ 1.09070003  1.11070343  1.5895501 ],[ 0.8  0.3  0.4]
640,....,[-0.14354443 -0.13966769 -0.15942855],[ 1.71131495  1.22343125  4.93549608],[ 0.8  0.4  0. ]
641,....,[-0.1608443  -0.15939358 -0.17774917],[ 1.34112968  1.12697381  3.04568124],[ 0.8  0.4  0.1]
642,....,[-0.16832773 -0.16761849 -0.18526303],[ 1.18677084  1.07223909  2.24276179],[ 0.8  0.4  0.2]
643,....,[-0.14928905 -0.14619541 -0.16596342],[ 1.55645062  1.09453183  4.23632084],[ 0.8  0.5  0. ]
644,....,[-0.16304937 -0.16208973 -0.1808357 ],[ 1.2632135   1.02203241  2.74673074],[ 0.8  0.5  0.1]
645,....,[-0.16943545 -0.16919345 -0.18738739],[ 1.13189804  0.97907303  2.06787002],[ 0.8  0.5  0.2]
646,....,[-0.15362131 -0.15108514 -0.17094901],[ 1.43859225  0.99825977  3.71475819],[ 0.8  0.6  0. ]
647,....,[-0.15701803 -0.1548972  -0.17489635],[ 1.34543505  0.9232127   3.30987847],[ 0.8  0.7  0. ]
648,....,[-0.06228167 -0.04468361 -0.07899342],[  3.70914585   3.28850969  15.47010581],[ 0.9  0.   0. ]
649,....,[-0.148306   -0.12983572 -0.15148099],[ 1.91381433  2.37350269  5.68498452],[ 0.9  0.   0.1]
650,....,[-0.1659068  -0.14928418 -0.16832659],[ 1.52482752  2.0518105   3.53461764],[ 0.9  0.   0.2]
651,....,[-0.17328655 -0.15857116 -0.1764782 ],[ 1.34972364  1.86697495  2.57463508],[ 0.9  0.   0.3]
652,....,[-0.17722035 -0.16422634 -0.18148619],[ 1.24843095  1.74113999  2.02845867],[ 0.9  0.   0.4]
653,....,[-0.17959727 -0.16812299 -0.18495941],[ 1.18153099  1.64747154  1.67524695],[ 0.9  0.   0.5]
654,....,[-0.18114963 -0.17101527 -0.18755107],[ 1.1335378   1.57376745  1.42779792],[ 0.9  0.   0.6]
655,....,[-0.10657484 -0.09557053 -0.12245454],[ 2.61065721  2.06978667  9.65588335],[ 0.9  0.1  0. ]
656,....,[-0.15209525 -0.14343264 -0.16485934],[ 1.64399093  1.71572651  4.55818901],[ 0.9  0.1  0.1]
657,....,[-0.16549333 -0.15768582 -0.17734512],[ 1.36107195  1.55663432  3.03461758],[ 0.9  0.1  0.2]
658,....,[-0.17186355 -0.16482687 -0.18363609],[ 1.22262959  1.45650177  2.28594904],[ 0.9  0.1  0.3]
659,....,[-0.17553923 -0.1692181  -0.18753497],[ 1.13949237  1.38457425  1.8379436 ],[ 0.9  0.1  0.4]
660,....,[-0.17790182 -0.17224163 -0.19024182],[ 1.08352868  1.32901265  1.53885651],[ 0.9  0.1  0.5]
661,....,[-0.12612861 -0.11826496 -0.14297437],[ 2.11059409  1.59294323  7.16705801],[ 0.9  0.2  0. ]
662,....,[-0.1558643  -0.1506917  -0.17233539],[ 1.47352382  1.39466309  3.85855734],[ 0.9  0.2  0.1]
